iter:100    file:tai12a.txt    start:[6, 10, 9, 3, 0, 2, 4, 11, 8, 1, 7, 5]
V1 T: 0   f:230704   nb_f:6602    time: 0.07699918746948242
V2 T: 0   f:266724   nb_f:1202    time: 0.013999462127685547
V3 T: 0   f:284450   nb_f:1102    time: 0.01999974250793457
V1 T: 5   f:230704   nb_f:6168    time: 0.07201814651489258
V2 T: 5   f:250956   nb_f:747    time: 0.008994817733764648
V3 T: 5   f:284450   nb_f:1102    time: 0.018995046615600586
V1 T: 10   f:230704   nb_f:5773    time: 0.07101130485534668
V2 T: 10   f:266724   nb_f:319    time: 0.004016876220703125
V3 T: 10   f:284450   nb_f:1102    time: 0.021002531051635742
V1 T: 15   f:230704   nb_f:5418    time: 0.08298540115356445
V2 T: 15   f:266724   nb_f:158    time: 0.0020012855529785156
V3 T: 15   f:284450   nb_f:1102    time: 0.019999980926513672
V1 T: 20   f:230704   nb_f:5104    time: 0.06701874732971191
V2 T: 20   f:266724   nb_f:158    time: 0.0019996166229248047
V3 T: 20   f:284450   nb_f:1102    time: 0.020999431610107422
V1 T: 25   f:230704   nb_f:4833    time: 0.062001705169677734
V2 T: 25   f:266724   nb_f:158    time: 0.0019943714141845703
V3 T: 25   f:284450   nb_f:1102    time: 0.020992755889892578
V1 T: 30   f:230704   nb_f:4603    time: 0.06101679801940918
V2 T: 30   f:266724   nb_f:158    time: 0.0020003318786621094
V3 T: 30   f:284450   nb_f:1102    time: 0.020005226135253906
V1 T: 35   f:230704   nb_f:4419    time: 0.058986663818359375
V2 T: 35   f:266724   nb_f:158    time: 0.002995729446411133
V3 T: 35   f:284450   nb_f:1102    time: 0.020008325576782227
V1 T: 40   f:230704   nb_f:4287    time: 0.0699760913848877
V2 T: 40   f:266724   nb_f:158    time: 0.0019998550415039062
V3 T: 40   f:284450   nb_f:1102    time: 0.019997596740722656
iter:1000    file:tai12a.txt    start:[6, 10, 9, 3, 0, 2, 4, 11, 8, 1, 7, 5]
V1 T: 0   f:230704   nb_f:66002    time: 0.8189997673034668
V2 T: 0   f:266724   nb_f:12002    time: 0.1510009765625
V3 T: 0   f:284450   nb_f:11002    time: 0.21499991416931152
V1 T: 5   f:230704   nb_f:61068    time: 0.761000394821167
V2 T: 5   f:248590   nb_f:7047    time: 0.08500051498413086
V3 T: 5   f:284450   nb_f:11002    time: 0.2039954662322998
V1 T: 10   f:230704   nb_f:56173    time: 0.7340011596679688
V2 T: 10   f:266724   nb_f:2119    time: 0.03100132942199707
V3 T: 10   f:284450   nb_f:11002    time: 0.20001554489135742
V1 T: 15   f:230704   nb_f:51318    time: 0.7079858779907227
V2 T: 15   f:266724   nb_f:158    time: 0.006999969482421875
V3 T: 15   f:284450   nb_f:11002    time: 0.21001887321472168
V1 T: 20   f:224416   nb_f:46504    time: 0.6529996395111084
V2 T: 20   f:266724   nb_f:158    time: 0.0060138702392578125
V3 T: 20   f:284450   nb_f:11002    time: 0.2180016040802002
V1 T: 25   f:224416   nb_f:41733    time: 0.6180002689361572
V2 T: 25   f:266724   nb_f:158    time: 0.0070002079010009766
V3 T: 25   f:284450   nb_f:11002    time: 0.21600055694580078
V1 T: 30   f:230704   nb_f:37003    time: 0.5739991664886475
V2 T: 30   f:266724   nb_f:158    time: 0.006000518798828125
V3 T: 30   f:284450   nb_f:11002    time: 0.21300125122070312
V1 T: 35   f:230704   nb_f:32319    time: 0.5320007801055908
V2 T: 35   f:266724   nb_f:158    time: 0.00700068473815918
V3 T: 35   f:284450   nb_f:11002    time: 0.20600008964538574
V1 T: 40   f:230704   nb_f:27687    time: 0.4810009002685547
V2 T: 40   f:266724   nb_f:158    time: 0.00699925422668457
V3 T: 40   f:284450   nb_f:11002    time: 0.21200156211853027
iter:10000    file:tai12a.txt    start:[6, 10, 9, 3, 0, 2, 4, 11, 8, 1, 7, 5]
V1 T: 0   f:230704   nb_f:660002    time: 7.796855211257935
V2 T: 0   f:266724   nb_f:120002    time: 1.453124761581421
V3 T: 0   f:284450   nb_f:110002    time: 2.0312631130218506
V1 T: 5   f:230704   nb_f:610068    time: 7.234375476837158
V2 T: 5   f:248590   nb_f:70047    time: 0.84375
V3 T: 5   f:284450   nb_f:110002    time: 2.031249523162842
V1 T: 10   f:230704   nb_f:560173    time: 7.23435640335083
V2 T: 10   f:266724   nb_f:20119    time: 0.3124995231628418
V3 T: 10   f:284450   nb_f:110002    time: 2.091855764389038
V1 T: 15   f:224416   nb_f:510318    time: 6.656249046325684
V2 T: 15   f:266724   nb_f:158    time: 0.04689383506774902
V3 T: 15   f:284450   nb_f:110002    time: 2.0468590259552
V1 T: 20   f:224416   nb_f:460504    time: 6.250011920928955
V2 T: 20   f:266724   nb_f:158    time: 0.0468745231628418
V3 T: 20   f:284450   nb_f:110002    time: 2.0624873638153076
V1 T: 25   f:224416   nb_f:410733    time: 5.921887159347534
V2 T: 25   f:266724   nb_f:158    time: 0.046855926513671875
V3 T: 25   f:284450   nb_f:110002    time: 2.140625476837158
V1 T: 30   f:224416   nb_f:361003    time: 5.500000238418579
V2 T: 30   f:266724   nb_f:158    time: 0.046875
V3 T: 30   f:284450   nb_f:110002    time: 2.0781426429748535
V1 T: 35   f:224416   nb_f:311319    time: 4.890626430511475
V2 T: 35   f:266724   nb_f:158    time: 0.04685616493225098
V3 T: 35   f:284450   nb_f:110002    time: 2.093749761581421
V1 T: 40   f:224416   nb_f:261687    time: 4.578129053115845
V2 T: 40   f:266724   nb_f:158    time: 0.0468747615814209
V3 T: 40   f:284450   nb_f:110002    time: 2.109374761581421
