iter:100    file:tai15a.txt    start:[12, 7, 0, 8, 3, 11, 14, 4, 6, 5, 2, 13, 10, 9, 1]
V1 T: 0   f:401506   nb_f:10502    time: 0.14301633834838867
V2 T: 0   f:432978   nb_f:1502    time: 0.019995927810668945
V3 T: 0   f:448372   nb_f:1402    time: 0.03699469566345215
V1 T: 5   f:395724   nb_f:10060    time: 0.13999462127685547
V2 T: 5   f:427332   nb_f:1041    time: 0.015015125274658203
V3 T: 5   f:448372   nb_f:1402    time: 0.037000417709350586
V1 T: 10   f:394398   nb_f:9654    time: 0.14098095893859863
V2 T: 10   f:427332   nb_f:616    time: 0.008997201919555664
V3 T: 10   f:448372   nb_f:1402    time: 0.036016225814819336
V1 T: 15   f:395724   nb_f:9300    time: 0.1349952220916748
V2 T: 15   f:427332   nb_f:297    time: 0.003976583480834961
V3 T: 15   f:448372   nb_f:1402    time: 0.03599405288696289
V1 T: 20   f:395724   nb_f:8994    time: 0.13200163841247559
V2 T: 20   f:427332   nb_f:222    time: 0.003995656967163086
V3 T: 20   f:448372   nb_f:1402    time: 0.035994768142700195
V1 T: 25   f:395724   nb_f:8737    time: 0.13099455833435059
V2 T: 25   f:427332   nb_f:222    time: 0.002995729446411133
V3 T: 25   f:448372   nb_f:1402    time: 0.03699445724487305
V1 T: 30   f:395724   nb_f:8518    time: 0.12799429893493652
V2 T: 30   f:427332   nb_f:222    time: 0.003995180130004883
V3 T: 30   f:448372   nb_f:1402    time: 0.037017822265625
V1 T: 35   f:395724   nb_f:8336    time: 0.1269984245300293
V2 T: 35   f:427332   nb_f:222    time: 0.0029952526092529297
V3 T: 35   f:448372   nb_f:1402    time: 0.036995649337768555
V1 T: 40   f:395724   nb_f:8199    time: 0.12499618530273438
V2 T: 40   f:427332   nb_f:222    time: 0.003995656967163086
V3 T: 40   f:448372   nb_f:1402    time: 0.03799557685852051
iter:1000    file:tai15a.txt    start:[12, 7, 0, 8, 3, 11, 14, 4, 6, 5, 2, 13, 10, 9, 1]
V1 T: 0   f:401506   nb_f:105002    time: 1.5310027599334717
V2 T: 0   f:432978   nb_f:15002    time: 0.20699667930603027
V3 T: 0   f:448372   nb_f:14002    time: 0.387005090713501
V1 T: 5   f:389718   nb_f:100060    time: 1.4999969005584717
