iter:100    file:tai17a.txt    start:[16, 12, 0, 7, 8, 13, 4, 11, 10, 9, 2, 3, 1, 15, 5, 14, 6]
V1 T: 0   f:530598   nb_f:13602    time: 0.20601105690002441
V2 T: 0   f:545708   nb_f:1702    time: 0.024994611740112305
V3 T: 0   f:571282   nb_f:1602    time: 0.052994728088378906
V1 T: 5   f:493662   nb_f:13157    time: 0.20199966430664062
V2 T: 5   f:545708   nb_f:1251    time: 0.01999950408935547
V3 T: 5   f:571282   nb_f:1602    time: 0.05299544334411621
V1 T: 10   f:499670   nb_f:12761    time: 0.20299506187438965
V2 T: 10   f:545708   nb_f:839    time: 0.01300048828125
V3 T: 10   f:571282   nb_f:1602    time: 0.05199456214904785
V1 T: 15   f:499670   nb_f:12408    time: 0.2019948959350586
V2 T: 15   f:545708   nb_f:454    time: 0.008000850677490234
V3 T: 15   f:571282   nb_f:1602    time: 0.05099940299987793
V1 T: 20   f:501780   nb_f:12089    time: 0.19701623916625977
V2 T: 20   f:545708   nb_f:308    time: 0.0060002803802490234
V3 T: 20   f:571282   nb_f:1602    time: 0.05299997329711914
V1 T: 25   f:501780   nb_f:11806    time: 0.19201159477233887
V2 T: 25   f:545708   nb_f:308    time: 0.004995584487915039
V3 T: 25   f:571282   nb_f:1602    time: 0.05299544334411621
V1 T: 30   f:501780   nb_f:11558    time: 0.1929759979248047
V2 T: 30   f:545708   nb_f:308    time: 0.00599980354309082
V3 T: 30   f:571282   nb_f:1602    time: 0.05301928520202637
V1 T: 35   f:501780   nb_f:11350    time: 0.18999338150024414
V2 T: 35   f:545708   nb_f:308    time: 0.00499415397644043
V3 T: 35   f:571282   nb_f:1602    time: 0.052994489669799805
V1 T: 40   f:501780   nb_f:11180    time: 0.18897628784179688
V2 T: 40   f:545708   nb_f:308    time: 0.005999565124511719
V3 T: 40   f:571282   nb_f:1602    time: 0.052017927169799805
iter:1000    file:tai17a.txt    start:[16, 12, 0, 7, 8, 13, 4, 11, 10, 9, 2, 3, 1, 15, 5, 14, 6]
V1 T: 0   f:530598   nb_f:136002    time: 2.2380003929138184
V2 T: 0   f:545708   nb_f:17002    time: 0.26600027084350586
V3 T: 0   f:571282   nb_f:16002    time: 0.5519988536834717
V1 T: 5   f:493662   nb_f:131057    time: 2.109999895095825
V2 T: 5   f:537266   nb_f:12051    time: 0.19000005722045898
V3 T: 5   f:571282   nb_f:16002    time: 0.541999340057373
V1 T: 10   f:496330   nb_f:126161    time: 2.141000986099243
V2 T: 10   f:545708   nb_f:7139    time: 0.1249990463256836
V3 T: 10   f:571282   nb_f:16002    time: 0.5570013523101807
V1 T: 15   f:498008   nb_f:121308    time: 2.0509982109069824
V2 T: 15   f:545708   nb_f:2254    time: 0.04398202896118164
V3 T: 15   f:571282   nb_f:16002    time: 0.5380005836486816
V1 T: 20   f:491812   nb_f:116489    time: 2.029000759124756
V2 T: 20   f:545708   nb_f:308    time: 0.012000083923339844
V3 T: 20   f:571282   nb_f:16002    time: 0.5720014572143555
V1 T: 25   f:498566   nb_f:111706    time: 2.014000177383423
V2 T: 25   f:545708   nb_f:308    time: 0.012000560760498047
V3 T: 25   f:571282   nb_f:16002    time: 0.5829875469207764
V1 T: 30   f:501020   nb_f:106958    time: 1.917015790939331
V2 T: 30   f:545708   nb_f:308    time: 0.011999130249023438
V3 T: 30   f:571282   nb_f:16002    time: 0.5539896488189697
V1 T: 35   f:501198   nb_f:102250    time: 1.8940072059631348
V2 T: 35   f:545708   nb_f:308    time: 0.012000560760498047
V3 T: 35   f:571282   nb_f:16002    time: 0.5510005950927734
V1 T: 40   f:499468   nb_f:97580    time: 1.8560004234313965
V2 T: 40   f:545708   nb_f:308    time: 0.011999368667602539
V3 T: 40   f:571282   nb_f:16002    time: 0.5419964790344238
iter:10000    file:tai17a.txt    start:[16, 12, 0, 7, 8, 13, 4, 11, 10, 9, 2, 3, 1, 15, 5, 14, 6]
V1 T: 0   f:530598   nb_f:1360002    time: 20.71874499320984
V2 T: 0   f:545708   nb_f:170002    time: 2.5781233310699463
V3 T: 0   f:571282   nb_f:160002    time: 5.328139781951904
V1 T: 5   f:493662   nb_f:1310057    time: 20.734361171722412
V2 T: 5   f:537266   nb_f:120051    time: 1.9062621593475342
V3 T: 5   f:571282   nb_f:160002    time: 5.421857833862305
V1 T: 10   f:496330   nb_f:1260161    time: 20.81250786781311
V2 T: 10   f:542482   nb_f:70139    time: 1.2499964237213135
V3 T: 10   f:571282   nb_f:160002    time: 5.421888589859009
V1 T: 15   f:498008   nb_f:1210308    time: 20.34373116493225
V2 T: 15   f:545708   nb_f:20254    time: 0.4218745231628418
V3 T: 15   f:571282   nb_f:160002    time: 5.281269788742065
V1 T: 20   f:491812   nb_f:1160489    time: 20.305098056793213
V2 T: 20   f:545708   nb_f:308    time: 0.07810401916503906
V3 T: 20   f:571282   nb_f:160002    time: 5.484395503997803
