iter:100    file:tai20a.txt    start:[5, 4, 3, 0, 19, 14, 16, 15, 18, 8, 13, 2, 6, 12, 7, 1, 11, 10, 9, 17]
V1 T: 0   f:734046   nb_f:19002    time: 0.3270144462585449
V2 T: 0   f:801724   nb_f:2002    time: 0.03399348258972168
V3 T: 0   f:815370   nb_f:1902    time: 0.08200311660766602
V1 T: 5   f:727034   nb_f:18584    time: 0.3229942321777344
V2 T: 5   f:799696   nb_f:1567    time: 0.02797698974609375
V3 T: 5   f:815370   nb_f:1902    time: 0.08199405670166016
V1 T: 10   f:726794   nb_f:18207    time: 0.32599592208862305
V2 T: 10   f:799762   nb_f:1165    time: 0.021000385284423828
V3 T: 10   f:815370   nb_f:1902    time: 0.08199930191040039
V1 T: 15   f:719310   nb_f:17871    time: 0.32201218605041504
V2 T: 15   f:801724   nb_f:798    time: 0.014995574951171875
V3 T: 15   f:815370   nb_f:1902    time: 0.08198666572570801
V1 T: 20   f:725094   nb_f:17574    time: 0.32099485397338867
V2 T: 20   f:801724   nb_f:537    time: 0.010001420974731445
V3 T: 20   f:815370   nb_f:1902    time: 0.08196711540222168
V1 T: 25   f:724428   nb_f:17320    time: 0.3289792537689209
V2 T: 25   f:801724   nb_f:476    time: 0.008999824523925781
V3 T: 25   f:815370   nb_f:1902    time: 0.08397603034973145
V1 T: 30   f:730056   nb_f:17113    time: 0.32301878929138184
V2 T: 30   f:801724   nb_f:476    time: 0.00899958610534668
V3 T: 30   f:815370   nb_f:1902    time: 0.08299469947814941
V1 T: 35   f:730056   nb_f:16944    time: 0.31999945640563965
V2 T: 35   f:801724   nb_f:476    time: 0.010003089904785156
V3 T: 35   f:815370   nb_f:1902    time: 0.08299946784973145
V1 T: 40   f:730056   nb_f:16830    time: 0.31798839569091797
V2 T: 40   f:801724   nb_f:476    time: 0.008999347686767578
V3 T: 40   f:815370   nb_f:1902    time: 0.08101797103881836
iter:1000    file:tai20a.txt    start:[5, 4, 3, 0, 19, 14, 16, 15, 18, 8, 13, 2, 6, 12, 7, 1, 11, 10, 9, 17]
V1 T: 0   f:734046   nb_f:190002    time: 3.45400071144104
V2 T: 0   f:801724   nb_f:20002    time: 0.3430180549621582
V3 T: 0   f:815370   nb_f:19002    time: 0.8630013465881348
V1 T: 5   f:710898   nb_f:185084    time: 3.509986400604248
V2 T: 5   f:776318   nb_f:15067    time: 0.29901552200317383
V3 T: 5   f:815370   nb_f:19002    time: 0.9290046691894531
V1 T: 10   f:712632   nb_f:180207    time: 3.5610156059265137
V2 T: 10   f:799762   nb_f:10165    time: 0.19100069999694824
V3 T: 10   f:815370   nb_f:19002    time: 0.8760008811950684
V1 T: 15   f:710926   nb_f:175371    time: 3.390000343322754
V2 T: 15   f:801724   nb_f:5298    time: 0.10599851608276367
V3 T: 15   f:815370   nb_f:19002    time: 0.9129810333251953
V1 T: 20   f:709080   nb_f:170574    time: 3.3140194416046143
V2 T: 20   f:801724   nb_f:1437    time: 0.03500080108642578
V3 T: 20   f:815370   nb_f:19002    time: 0.8779993057250977
V1 T: 25   f:710352   nb_f:165820    time: 3.337000846862793
V2 T: 25   f:801724   nb_f:476    time: 0.01698017120361328
V3 T: 25   f:815370   nb_f:19002    time: 0.9129815101623535
V1 T: 30   f:712134   nb_f:161113    time: 3.237018346786499
V2 T: 30   f:801724   nb_f:476    time: 0.01799917221069336
V3 T: 30   f:815370   nb_f:19002    time: 0.8760182857513428
V1 T: 35   f:717848   nb_f:156444    time: 3.308000326156616
V2 T: 35   f:801724   nb_f:476    time: 0.017979860305786133
V3 T: 35   f:815370   nb_f:19002    time: 0.8859963417053223
V1 T: 40   f:719500   nb_f:151830    time: 3.2710015773773193
V2 T: 40   f:801724   nb_f:476    time: 0.017999887466430664
V3 T: 40   f:815370   nb_f:19002    time: 0.8900003433227539
iter:10000    file:tai20a.txt    start:[5, 4, 3, 0, 19, 14, 16, 15, 18, 8, 13, 2, 6, 12, 7, 1, 11, 10, 9, 17]
V1 T: 0   f:734046   nb_f:1900002    time: 33.3106369972229
V2 T: 0   f:801724   nb_f:200002    time: 3.546872854232788
V3 T: 0   f:815370   nb_f:190002    time: 8.29687786102295
V1 T: 5   f:710898   nb_f:1850084    time: 34.24997115135193
V2 T: 5   f:764000   nb_f:150067    time: 2.7343881130218506
V3 T: 5   f:815370   nb_f:190002    time: 8.328124761581421
V1 T: 10   f:709080   nb_f:1800207    time: 33.56248474121094
V2 T: 10   f:771308   nb_f:100165    time: 1.9687495231628418
V3 T: 10   f:815370   nb_f:190002    time: 8.499996662139893
V1 T: 15   f:708468   nb_f:1750371    time: 33.343761920928955
V2 T: 15   f:801724   nb_f:50298    time: 0.9843733310699463
V3 T: 15   f:815370   nb_f:190002    time: 8.390620231628418
V1 T: 20   f:709080   nb_f:1700574    time: 32.664206743240356
V2 T: 20   f:801724   nb_f:10437    time: 0.26561975479125977
V3 T: 20   f:815370   nb_f:190002    time: 8.671870708465576
V1 T: 25   f:709080   nb_f:1650820    time: 32.21214532852173
V2 T: 25   f:801724   nb_f:476    time: 0.0937497615814209
V3 T: 25   f:815370   nb_f:190002    time: 8.515626668930054
V1 T: 30   f:712134   nb_f:1601113    time: 32.15442633628845
V2 T: 30   f:801724   nb_f:476    time: 0.09374666213989258
V3 T: 30   f:815370   nb_f:190002    time: 8.421875953674316
V1 T: 35   f:717848   nb_f:1551444    time: 31.89062476158142
V2 T: 35   f:801724   nb_f:476    time: 0.10937619209289551
V3 T: 35   f:815370   nb_f:190002    time: 8.421860694885254
V1 T: 40   f:710474   nb_f:1501830    time: 31.29688787460327
V2 T: 40   f:801724   nb_f:476    time: 0.09374761581420898
V3 T: 40   f:815370   nb_f:190002    time: 8.390625715255737
