iter:100    file:tai25a.txt    start:[4, 20, 21, 5, 22, 19, 18, 10, 17, 2, 14, 16, 11, 23, 6, 9, 7, 1, 13, 3, 15, 8, 12, 0, 24]
V1 T: 0   f:1225520   nb_f:30002    time: 0.6230063438415527
V2 T: 0   f:1331968   nb_f:2502    time: 0.05099821090698242
V3 T: 0   f:1346338   nb_f:2402    time: 0.15399551391601562
V1 T: 5   f:1197386   nb_f:29596    time: 0.6210188865661621
V2 T: 5   f:1307238   nb_f:2082    time: 0.0449826717376709
V3 T: 5   f:1346338   nb_f:2402    time: 0.15701627731323242
V1 T: 10   f:1208446   nb_f:29237    time: 0.634009599685669
V2 T: 10   f:1319788   nb_f:1692    time: 0.03600049018859863
V3 T: 10   f:1346338   nb_f:2402    time: 0.15599942207336426
V1 T: 15   f:1207542   nb_f:28913    time: 0.6330118179321289
V2 T: 15   f:1331968   nb_f:1327    time: 0.028990745544433594
V3 T: 15   f:1346338   nb_f:2402    time: 0.15501713752746582
V1 T: 20   f:1212412   nb_f:28625    time: 0.6270167827606201
V2 T: 20   f:1331968   nb_f:987    time: 0.021022319793701172
V3 T: 20   f:1346338   nb_f:2402    time: 0.15900444984436035
V1 T: 25   f:1203836   nb_f:28370    time: 0.6310009956359863
V2 T: 25   f:1331968   nb_f:740    time: 0.016004323959350586
V3 T: 25   f:1346338   nb_f:2402    time: 0.15799999237060547
V1 T: 30   f:1212412   nb_f:28147    time: 0.6219911575317383
V2 T: 30   f:1331968   nb_f:683    time: 0.0160219669342041
V3 T: 30   f:1346338   nb_f:2402    time: 0.15901446342468262
V1 T: 35   f:1212412   nb_f:27969    time: 0.6279995441436768
V2 T: 35   f:1331968   nb_f:683    time: 0.015006065368652344
V3 T: 35   f:1346338   nb_f:2402    time: 0.15897822380065918
V1 T: 40   f:1212412   nb_f:27841    time: 0.6500155925750732
V2 T: 40   f:1331968   nb_f:683    time: 0.015006303787231445
V3 T: 40   f:1346338   nb_f:2402    time: 0.15799975395202637
iter:1000    file:tai25a.txt    start:[4, 20, 21, 5, 22, 19, 18, 10, 17, 2, 14, 16, 11, 23, 6, 9, 7, 1, 13, 3, 15, 8, 12, 0, 24]
V1 T: 0   f:1225520   nb_f:300002    time: 6.896012544631958
V2 T: 0   f:1331968   nb_f:25002    time: 0.5400002002716064
V3 T: 0   f:1346338   nb_f:24002    time: 1.6250157356262207
V1 T: 5   f:1187588   nb_f:295096    time: 6.646000146865845
V2 T: 5   f:1274358   nb_f:20082    time: 0.45098066329956055
V3 T: 5   f:1346338   nb_f:24002    time: 1.6540215015411377
V1 T: 10   f:1190854   nb_f:290237    time: 6.662998676300049
V2 T: 10   f:1311970   nb_f:15192    time: 0.34000110626220703
V3 T: 10   f:1346338   nb_f:24002    time: 1.6180007457733154
V1 T: 15   f:1175490   nb_f:285413    time: 6.839999198913574
V2 T: 15   f:1325852   nb_f:10327    time: 0.24701905250549316
V3 T: 15   f:1346338   nb_f:24002    time: 1.668999433517456
V1 T: 20   f:1183946   nb_f:280625    time: 6.546000003814697
V2 T: 20   f:1331968   nb_f:5487    time: 0.13600444793701172
V3 T: 20   f:1346338   nb_f:24002    time: 1.6710023880004883
V1 T: 25   f:1189818   nb_f:275870    time: 6.624980449676514
V2 T: 25   f:1331968   nb_f:1640    time: 0.046018362045288086
V3 T: 25   f:1346338   nb_f:24002    time: 1.655005693435669
V1 T: 30   f:1190408   nb_f:271147    time: 6.766000032424927
V2 T: 30   f:1331968   nb_f:683    time: 0.027979612350463867
V3 T: 30   f:1346338   nb_f:24002    time: 1.7239768505096436
V1 T: 35   f:1199586   nb_f:266469    time: 6.744980812072754
V2 T: 35   f:1331968   nb_f:683    time: 0.028998613357543945
V3 T: 35   f:1346338   nb_f:24002    time: 1.759998083114624
V1 T: 40   f:1186360   nb_f:261841    time: 6.5570173263549805
V2 T: 40   f:1331968   nb_f:683    time: 0.02700209617614746
V3 T: 40   f:1346338   nb_f:24002    time: 1.6680004596710205
iter:10000    file:tai25a.txt    start:[4, 20, 21, 5, 22, 19, 18, 10, 17, 2, 14, 16, 11, 23, 6, 9, 7, 1, 13, 3, 15, 8, 12, 0, 24]
V1 T: 0   f:1225520   nb_f:3000002    time: 64.53123140335083
V2 T: 0   f:1331968   nb_f:250002    time: 5.421874761581421
V3 T: 0   f:1346338   nb_f:240002    time: 16.187517881393433
V1 T: 5   f:1187588   nb_f:2950096    time: 64.70124697685242
V2 T: 5   f:1252262   nb_f:200082    time: 4.359387397766113
V3 T: 5   f:1346338   nb_f:240002    time: 15.796874761581421
