iter:100    file:tai30a.txt    start:[16, 17, 26, 0, 6, 15, 1, 25, 29, 13, 23, 2, 18, 21, 7, 4, 27, 28, 19, 9, 22, 5, 24, 10, 3, 20, 12, 14, 11, 8]
V1 T: 0   f:1911456   nb_f:43502    time: 1.0699987411499023
V2 T: 0   f:2080046   nb_f:3002    time: 0.07301974296569824
V3 T: 0   f:2130276   nb_f:2902    time: 0.2670118808746338
V1 T: 5   f:1870410   nb_f:43106    time: 1.0969862937927246
V2 T: 5   f:2045972   nb_f:2566    time: 0.062013864517211914
V3 T: 5   f:2130276   nb_f:2902    time: 0.262998104095459
V1 T: 10   f:1870652   nb_f:42769    time: 1.087017297744751
V2 T: 10   f:2045922   nb_f:2162    time: 0.05399441719055176
V3 T: 10   f:2130276   nb_f:2902    time: 0.2640113830566406
V1 T: 15   f:1872630   nb_f:42475    time: 1.0840013027191162
V2 T: 15   f:2061704   nb_f:1791    time: 0.04599785804748535
V3 T: 15   f:2130276   nb_f:2902    time: 0.2650187015533447
V1 T: 20   f:1866794   nb_f:42214    time: 1.1269996166229248
V2 T: 20   f:2080046   nb_f:1463    time: 0.0379946231842041
V3 T: 20   f:2130276   nb_f:2902    time: 0.26598572731018066
V1 T: 25   f:1870020   nb_f:41990    time: 1.0959994792938232
V2 T: 25   f:2080046   nb_f:1163    time: 0.02901482582092285
V3 T: 25   f:2130276   nb_f:2902    time: 0.2690005302429199
V1 T: 30   f:1871274   nb_f:41811    time: 1.0790050029754639
V2 T: 30   f:2080046   nb_f:940    time: 0.02400040626525879
V3 T: 30   f:2130276   nb_f:2902    time: 0.2679784297943115
V1 T: 35   f:1871274   nb_f:41702    time: 1.1339867115020752
V2 T: 35   f:2080046   nb_f:888    time: 0.02399921417236328
V3 T: 35   f:2130276   nb_f:2902    time: 0.26801419258117676
V1 T: 40   f:1871274   nb_f:41635    time: 1.0879924297332764
V2 T: 40   f:2080046   nb_f:888    time: 0.023000717163085938
V3 T: 40   f:2130276   nb_f:2902    time: 0.2720143795013428
iter:1000    file:tai30a.txt    start:[16, 17, 26, 0, 6, 15, 1, 25, 29, 13, 23, 2, 18, 21, 7, 4, 27, 28, 19, 9, 22, 5, 24, 10, 3, 20, 12, 14, 11, 8]
V1 T: 0   f:1911456   nb_f:435002    time: 11.785986185073853
V2 T: 0   f:2080046   nb_f:30002    time: 0.8110017776489258
V3 T: 0   f:2130276   nb_f:29002    time: 2.878997802734375
V1 T: 5   f:1870410   nb_f:430106    time: 11.854996681213379
V2 T: 5   f:1985530   nb_f:25066    time: 0.6720192432403564
V3 T: 5   f:2130276   nb_f:29002    time: 2.8300015926361084
V1 T: 10   f:1839346   nb_f:425269    time: 11.568999290466309
V2 T: 10   f:2005568   nb_f:20162    time: 0.5260002613067627
V3 T: 10   f:2130276   nb_f:29002    time: 2.7939999103546143
V1 T: 15   f:1859868   nb_f:420475    time: 11.319018602371216
V2 T: 15   f:2026650   nb_f:15291    time: 0.41899991035461426
V3 T: 15   f:2130276   nb_f:29002    time: 2.7370007038116455
V1 T: 20   f:1852274   nb_f:415714    time: 11.207994937896729
V2 T: 20   f:2064564   nb_f:10463    time: 0.28900146484375
V3 T: 20   f:2130276   nb_f:29002    time: 2.7950005531311035
V1 T: 25   f:1851452   nb_f:410990    time: 11.371999263763428
V2 T: 25   f:2080046   nb_f:5663    time: 0.1680006980895996
V3 T: 25   f:2130276   nb_f:29002    time: 2.8440144062042236
V1 T: 30   f:1852728   nb_f:406311    time: 11.262000799179077
V2 T: 30   f:2080046   nb_f:1840    time: 0.06197929382324219
V3 T: 30   f:2130276   nb_f:29002    time: 2.840020179748535
V1 T: 35   f:1856218   nb_f:401702    time: 11.648985385894775
V2 T: 35   f:2080046   nb_f:888    time: 0.04300212860107422
V3 T: 35   f:2130276   nb_f:29002    time: 2.959001302719116
V1 T: 40   f:1858936   nb_f:397135    time: 11.602015018463135
V2 T: 40   f:2080046   nb_f:888    time: 0.0429997444152832
V3 T: 40   f:2130276   nb_f:29002    time: 2.9690041542053223
iter:10000    file:tai30a.txt    start:[16, 17, 26, 0, 6, 15, 1, 25, 29, 13, 23, 2, 18, 21, 7, 4, 27, 28, 19, 9, 22, 5, 24, 10, 3, 20, 12, 14, 11, 8]
V1 T: 0   f:1911456   nb_f:4350002    time: 110.43750429153442
V2 T: 0   f:2080046   nb_f:300002    time: 7.328135967254639
V3 T: 0   f:2130276   nb_f:290002    time: 26.75000023841858
V1 T: 5   f:1870410   nb_f:4300106    time: 110.35937476158142
V2 T: 5   f:1973960   nb_f:250066    time: 6.421862363815308
V3 T: 5   f:2130276   nb_f:290002    time: 27.29687476158142
V1 T: 10   f:1827850   nb_f:4250269    time: 110.88985896110535
V2 T: 10   f:1992776   nb_f:200162    time: 5.1249823570251465
V3 T: 10   f:2130276   nb_f:290002    time: 27.53125524520874
V1 T: 15   f:1859868   nb_f:4200475    time: 111.78126192092896
V2 T: 15   f:2011476   nb_f:150291    time: 4.062499523162842
V3 T: 15   f:2130276   nb_f:290002    time: 27.09375023841858
V1 T: 20   f:1825262   nb_f:4150714    time: 112.34456968307495
V2 T: 20   f:2050122   nb_f:100463    time: 3.0468690395355225
V3 T: 20   f:2130276   nb_f:290002    time: 28.156243324279785
V1 T: 25   f:1825384   nb_f:4100990    time: 118.84375476837158
V2 T: 25   f:2080046   nb_f:50663    time: 1.56248140335083
V3 T: 25   f:2130276   nb_f:290002    time: 27.32814311981201
V1 T: 30   f:1839996   nb_f:4051311    time: 110.60026144981384
V2 T: 30   f:2080046   nb_f:10840    time: 0.4687495231628418
V3 T: 30   f:2130276   nb_f:290002    time: 28.04688787460327
V1 T: 35   f:1840556   nb_f:4001702    time: 110.31249976158142
V2 T: 35   f:2080046   nb_f:888    time: 0.18748044967651367
V3 T: 35   f:2130276   nb_f:290002    time: 26.968766927719116
V1 T: 40   f:1843744   nb_f:3952135    time: 109.75
V2 T: 40   f:2080046   nb_f:888    time: 0.1874988079071045
V3 T: 40   f:2130276   nb_f:290002    time: 26.921875953674316
