iter:100    file:tai35a.txt    start:[29, 8, 22, 9, 27, 16, 12, 11, 4, 14, 15, 3, 33, 24, 23, 5, 17, 10, 7, 32, 6, 25, 26, 21, 0, 1, 18, 28, 20, 2, 13, 30, 34, 31, 19]
V1 T: 0   f:2511078   nb_f:59502    time: 1.69801664352417
V2 T: 0   f:2756390   nb_f:3502    time: 0.09601783752441406
V3 T: 0   f:2787226   nb_f:3402    time: 0.41899991035461426
V1 T: 5   f:2493400   nb_f:59145    time: 1.6960055828094482
V2 T: 5   f:2723690   nb_f:3069    time: 0.08698344230651855
V3 T: 5   f:2787226   nb_f:3402    time: 0.427980899810791
V1 T: 10   f:2491244   nb_f:58831    time: 1.8020029067993164
V2 T: 10   f:2706972   nb_f:2675    time: 0.07701349258422852
V3 T: 10   f:2787226   nb_f:3402    time: 0.419996976852417
V1 T: 15   f:2491244   nb_f:58566    time: 1.7360172271728516
V2 T: 15   f:2735640   nb_f:2324    time: 0.0670166015625
V3 T: 15   f:2787226   nb_f:3402    time: 0.4339935779571533
V1 T: 20   f:2491244   nb_f:58350    time: 1.7820112705230713
V2 T: 20   f:2735640   nb_f:2009    time: 0.05900001525878906
V3 T: 20   f:2787226   nb_f:3402    time: 0.44797611236572266
V1 T: 25   f:2491244   nb_f:58174    time: 1.7470180988311768
V2 T: 25   f:2735640   nb_f:1724    time: 0.05301523208618164
V3 T: 25   f:2787226   nb_f:3402    time: 0.41900062561035156
V1 T: 30   f:2491244   nb_f:58046    time: 1.736018180847168
V2 T: 30   f:2735640   nb_f:1464    time: 0.04400014877319336
V3 T: 30   f:2787226   nb_f:3402    time: 0.4309864044189453
V1 T: 35   f:2491244   nb_f:57951    time: 1.804001808166504
V2 T: 35   f:2735640   nb_f:1276    time: 0.039998531341552734
V3 T: 35   f:2787226   nb_f:3402    time: 0.43701767921447754
V1 T: 40   f:2491244   nb_f:57887    time: 1.7949802875518799
V2 T: 40   f:2735640   nb_f:1234    time: 0.038002967834472656
V3 T: 40   f:2787226   nb_f:3402    time: 0.4430205821990967
iter:1000    file:tai35a.txt    start:[29, 8, 22, 9, 27, 16, 12, 11, 4, 14, 15, 3, 33, 24, 23, 5, 17, 10, 7, 32, 6, 25, 26, 21, 0, 1, 18, 28, 20, 2, 13, 30, 34, 31, 19]
V1 T: 0   f:2511078   nb_f:595002    time: 17.96299695968628
V2 T: 0   f:2756390   nb_f:35002    time: 1.0749998092651367
V3 T: 0   f:2787226   nb_f:34002    time: 4.33101487159729
V1 T: 5   f:2464436   nb_f:590145    time: 18.088998079299927
V2 T: 5   f:2673130   nb_f:30069    time: 0.9579987525939941
V3 T: 5   f:2787226   nb_f:34002    time: 4.410996437072754
V1 T: 10   f:2462192   nb_f:585331    time: 18.451018810272217
V2 T: 10   f:2678116   nb_f:25175    time: 0.803980827331543
V3 T: 10   f:2787226   nb_f:34002    time: 4.5480194091796875
V1 T: 15   f:2439378   nb_f:580566    time: 18.240000009536743
V2 T: 15   f:2708760   nb_f:20324    time: 0.612999677658081
V3 T: 15   f:2787226   nb_f:34002    time: 4.321012020111084
V1 T: 20   f:2454242   nb_f:575850    time: 18.45400071144104
V2 T: 20   f:2715336   nb_f:15509    time: 0.4680001735687256
V3 T: 20   f:2787226   nb_f:34002    time: 4.32800030708313
V1 T: 25   f:2468370   nb_f:571174    time: 17.808018445968628
V2 T: 25   f:2735640   nb_f:10724    time: 0.34800052642822266
V3 T: 25   f:2787226   nb_f:34002    time: 4.369999408721924
V1 T: 30   f:2469666   nb_f:566546    time: 18.11102032661438
V2 T: 30   f:2735640   nb_f:5964    time: 0.20300030708312988
V3 T: 30   f:2787226   nb_f:34002    time: 4.287001371383667
V1 T: 35   f:2473944   nb_f:561951    time: 17.86699628829956
V2 T: 35   f:2735640   nb_f:2176    time: 0.08501815795898438
V3 T: 35   f:2787226   nb_f:34002    time: 4.496004343032837
V1 T: 40   f:2467442   nb_f:557387    time: 18.47001314163208
V2 T: 40   f:2735640   nb_f:1234    time: 0.056017398834228516
V3 T: 40   f:2787226   nb_f:34002    time: 4.477018356323242
iter:10000    file:tai35a.txt    start:[29, 8, 22, 9, 27, 16, 12, 11, 4, 14, 15, 3, 33, 24, 23, 5, 17, 10, 7, 32, 6, 25, 26, 21, 0, 1, 18, 28, 20, 2, 13, 30, 34, 31, 19]
V1 T: 0   f:2511078   nb_f:5950002    time: 170.23209524154663
V2 T: 0   f:2756390   nb_f:350002    time: 10.28123164176941
V3 T: 0   f:2787226   nb_f:340002    time: 42.265629529953
V1 T: 5   f:2464436   nb_f:5900145    time: 172.29689073562622
V2 T: 5   f:2673130   nb_f:300069    time: 8.874995708465576
V3 T: 5   f:2787226   nb_f:340002    time: 41.999999046325684
