iter:100    file:tai40a.txt    start:[25, 2, 38, 19, 22, 23, 4, 5, 0, 28, 6, 13, 14, 32, 33, 39, 11, 16, 18, 36, 24, 20, 37, 29, 8, 31, 7, 9, 3, 26, 27, 17, 15, 21, 30, 35, 12, 34, 1, 10]
V1 T: 0   f:3283102   nb_f:78002    time: 2.6620004177093506
V2 T: 0   f:3551486   nb_f:4002    time: 0.12601780891418457
V3 T: 0   f:3695174   nb_f:3902    time: 0.6379773616790771
V1 T: 5   f:3216990   nb_f:77640    time: 2.599000930786133
V2 T: 5   f:3491074   nb_f:3589    time: 0.11400485038757324
V3 T: 5   f:3695174   nb_f:3902    time: 0.6229956150054932
V1 T: 10   f:3216112   nb_f:77314    time: 2.678985357284546
V2 T: 10   f:3508694   nb_f:3219    time: 0.10601449012756348
V3 T: 10   f:3695174   nb_f:3902    time: 0.6420013904571533
V1 T: 15   f:3228878   nb_f:77050    time: 2.6369996070861816
V2 T: 15   f:3528592   nb_f:2877    time: 0.09600019454956055
V3 T: 15   f:3695174   nb_f:3902    time: 0.6310005187988281
V1 T: 20   f:3217342   nb_f:76834    time: 2.6819865703582764
V2 T: 20   f:3528592   nb_f:2564    time: 0.08501935005187988
V3 T: 20   f:3695174   nb_f:3902    time: 0.6689989566802979
V1 T: 25   f:3228878   nb_f:76661    time: 2.687997817993164
V2 T: 25   f:3528592   nb_f:2284    time: 0.07798147201538086
V3 T: 25   f:3695174   nb_f:3902    time: 0.6890053749084473
V1 T: 30   f:3228878   nb_f:76519    time: 2.74599552154541
V2 T: 30   f:3528592   nb_f:2039    time: 0.06798028945922852
V3 T: 30   f:3695174   nb_f:3902    time: 0.6540191173553467
V1 T: 35   f:3228878   nb_f:76423    time: 2.667022466659546
V2 T: 35   f:3528592   nb_f:1820    time: 0.06001687049865723
V3 T: 35   f:3695174   nb_f:3902    time: 0.6529812812805176
V1 T: 40   f:3228878   nb_f:76359    time: 2.774019241333008
V2 T: 40   f:3528592   nb_f:1666    time: 0.05899977684020996
V3 T: 40   f:3695174   nb_f:3902    time: 0.6509840488433838
iter:1000    file:tai40a.txt    start:[25, 2, 38, 19, 22, 23, 4, 5, 0, 28, 6, 13, 14, 32, 33, 39, 11, 16, 18, 36, 24, 20, 37, 29, 8, 31, 7, 9, 3, 26, 27, 17, 15, 21, 30, 35, 12, 34, 1, 10]
V1 T: 0   f:3283102   nb_f:780002    time: 26.629996299743652
V2 T: 0   f:3551486   nb_f:40002    time: 1.3800184726715088
V3 T: 0   f:3695174   nb_f:39002    time: 6.560000658035278
V1 T: 5   f:3216990   nb_f:775140    time: 26.60801339149475
V2 T: 5   f:3491074   nb_f:35089    time: 1.1610007286071777
V3 T: 5   f:3695174   nb_f:39002    time: 6.37399959564209
V1 T: 10   f:3206538   nb_f:770314    time: 26.882987022399902
V2 T: 10   f:3497648   nb_f:30219    time: 1.077002763748169
V3 T: 10   f:3695174   nb_f:39002    time: 6.626015901565552
V1 T: 15   f:3211272   nb_f:765550    time: 27.04399847984314
V2 T: 15   f:3464028   nb_f:25377    time: 0.875018835067749
V3 T: 15   f:3695174   nb_f:39002    time: 6.555017709732056
V1 T: 20   f:3198258   nb_f:760834    time: 26.785000562667847
V2 T: 20   f:3512198   nb_f:20564    time: 0.7260260581970215
V3 T: 20   f:3695174   nb_f:39002    time: 6.617997407913208
V1 T: 25   f:3203938   nb_f:756161    time: 26.914016008377075
V2 T: 25   f:3528592   nb_f:15784    time: 0.5840175151824951
V3 T: 25   f:3695174   nb_f:39002    time: 6.674986362457275
V1 T: 30   f:3201876   nb_f:751519    time: 26.955016613006592
V2 T: 30   f:3528592   nb_f:11039    time: 0.38899874687194824
V3 T: 30   f:3695174   nb_f:39002    time: 6.628000974655151
V1 T: 35   f:3214750   nb_f:746923    time: 26.831000089645386
V2 T: 35   f:3528592   nb_f:6320    time: 0.23299813270568848
V3 T: 35   f:3695174   nb_f:39002    time: 6.453001022338867
V1 T: 40   f:3217188   nb_f:742359    time: 27.424996376037598
V2 T: 40   f:3528592   nb_f:2566    time: 0.11501789093017578
V3 T: 40   f:3695174   nb_f:39002    time: 6.496001958847046
iter:10000    file:tai40a.txt    start:[25, 2, 38, 19, 22, 23, 4, 5, 0, 28, 6, 13, 14, 32, 33, 39, 11, 16, 18, 36, 24, 20, 37, 29, 8, 31, 7, 9, 3, 26, 27, 17, 15, 21, 30, 35, 12, 34, 1, 10]
V1 T: 0   f:3283102   nb_f:7800002    time: 254.67150020599365
V2 T: 0   f:3551486   nb_f:400002    time: 13.093764543533325
V3 T: 0   f:3695174   nb_f:390002    time: 62.783570528030396
