iter:100    file:tai50a.txt    start:[8, 9, 7, 11, 15, 13, 37, 41, 46, 39, 44, 34, 42, 29, 49, 28, 24, 2, 20, 30, 14, 22, 35, 17, 32, 40, 26, 23, 43, 0, 16, 31, 3, 4, 19, 5, 38, 12, 33, 47, 18, 1, 36, 6, 45, 10, 27, 48, 21, 25]
V1 T: 0   f:5200450   nb_f:122502    time: 5.1330015659332275
V2 T: 0   f:5540900   nb_f:5002    time: 0.1959984302520752
V3 T: 0   f:5727566   nb_f:4902    time: 1.2480099201202393
V1 T: 5   f:5127140   nb_f:122149    time: 5.22499942779541
V2 T: 5   f:5533686   nb_f:4597    time: 0.19498085975646973
V3 T: 5   f:5727566   nb_f:4902    time: 1.283998966217041
V1 T: 10   f:5119412   nb_f:121893    time: 5.318004131317139
V2 T: 10   f:5520244   nb_f:4234    time: 0.17201519012451172
V3 T: 10   f:5727566   nb_f:4902    time: 1.2630019187927246
V1 T: 15   f:5120068   nb_f:121671    time: 5.32099461555481
V2 T: 15   f:5521758   nb_f:3904    time: 0.16199493408203125
V3 T: 15   f:5727566   nb_f:4902    time: 1.3149821758270264
V1 T: 20   f:5120068   nb_f:121498    time: 5.493016958236694
V2 T: 20   f:5523916   nb_f:3601    time: 0.1490013599395752
V3 T: 20   f:5727566   nb_f:4902    time: 1.318019151687622
V1 T: 25   f:5120068   nb_f:121368    time: 5.331017732620239
V2 T: 25   f:5540900   nb_f:3333    time: 0.1400001049041748
V3 T: 25   f:5727566   nb_f:4902    time: 1.2749993801116943
V1 T: 30   f:5120068   nb_f:121269    time: 5.262018442153931
V2 T: 30   f:5540900   nb_f:3093    time: 0.1309828758239746
V3 T: 30   f:5727566   nb_f:4902    time: 1.305002212524414
V1 T: 35   f:5120068   nb_f:121205    time: 6.167998313903809
V2 T: 35   f:5540900   nb_f:2878    time: 0.1380164623260498
V3 T: 35   f:5727566   nb_f:4902    time: 1.4910173416137695
V1 T: 40   f:5120068   nb_f:121181    time: 6.256000995635986
V2 T: 40   f:5540900   nb_f:2690    time: 0.12799334526062012
V3 T: 40   f:5727566   nb_f:4902    time: 1.3760192394256592
iter:1000    file:tai50a.txt    start:[8, 9, 7, 11, 15, 13, 37, 41, 46, 39, 44, 34, 42, 29, 49, 28, 24, 2, 20, 30, 14, 22, 35, 17, 32, 40, 26, 23, 43, 0, 16, 31, 3, 4, 19, 5, 38, 12, 33, 47, 18, 1, 36, 6, 45, 10, 27, 48, 21, 25]
V1 T: 0   f:5200450   nb_f:1225002    time: 51.286988258361816
V2 T: 0   f:5540900   nb_f:50002    time: 2.130017042160034
V3 T: 0   f:5727566   nb_f:49002    time: 12.870999097824097
